word,korean_meaning,level,korean_example,english_translation,image_file,tts_word_en,tts_meaning_ko,tts_example_en,tts_example_ko,category,difficulty
artist,예술가,,그 예술가는 아름다운 그림을 그렸어요.,The artist painted a beautiful picture.,artist.png,artist_word_en.mp3,artist_meaning_ko.mp3,artist_example_en.mp3,artist_example_ko.mp3,입문,1
as,~처럼,,그는 바람처럼 빨리 달려요.,He runs fast like the wind.,,as_word_en.mp3,as_meaning_ko.mp3,as_example_en.mp3,as_example_ko.mp3,입문,1
ask,묻다,,길을 몰라서 사람에게 물었어요.,"I did not know the way, so I asked a person.",ask.png,ask_word_en.mp3,ask_meaning_ko.mp3,ask_example_en.mp3,ask_example_ko.mp3,입문,1
at,~에,,저는 7시에 일어나요.,I wake up at seven o'clock.,,at_word_en.mp3,at_meaning_ko.mp3,at_example_en.mp3,at_example_ko.mp3,입문,1
August,8월,,8월에는 날씨가 매우 더워요.,The weather is very hot in August.,August.png,August_word_en.mp3,August_meaning_ko.mp3,August_example_en.mp3,August_example_ko.mp3,입문,1
aunt,이모,,이모가 우리 집에 오셨어요.,My aunt came to our house.,aunt.png,aunt_word_en.mp3,aunt_meaning_ko.mp3,aunt_example_en.mp3,aunt_example_ko.mp3,입문,1
autumn,가을,,가을에는 하늘이 맑아요.,The sky is clear in autumn.,autumn.png,autumn_word_en.mp3,autumn_meaning_ko.mp3,autumn_example_en.mp3,autumn_example_ko.mp3,입문,1
away,떨어져,,학교는 집에서 멀리 떨어져 있어요.,The school is far away from my house.,away.png,away_word_en.mp3,away_meaning_ko.mp3,away_example_en.mp3,away_example_ko.mp3,입문,1
baby,아기,,아기가 조용히 자고 있어요.,The baby is sleeping quietly.,baby.png,baby_word_en.mp3,baby_meaning_ko.mp3,baby_example_en.mp3,baby_example_ko.mp3,입문,1
back,등,,오래 앉아 있어서 등이 아파요.,My back hurts because I sat for a long time.,back.png,back_word_en.mp3,back_meaning_ko.mp3,back_example_en.mp3,back_example_ko.mp3,입문,1
bad,나쁜,,나쁜 습관은 빨리 고쳐야 해요.,You should fix bad habits quickly.,bad.png,bad_word_en.mp3,bad_meaning_ko.mp3,bad_example_en.mp3,bad_example_ko.mp3,입문,1
bag,가방,,가방 안에 책이 있어요.,There is a book in the bag.,bag.png,bag_word_en.mp3,bag_meaning_ko.mp3,bag_example_en.mp3,bag_example_ko.mp3,여행,2
ball,공,,아이들이 공을 차고 있어요.,The children are kicking a ball.,ball.png,ball_word_en.mp3,ball_meaning_ko.mp3,ball_example_en.mp3,ball_example_ko.mp3,입문,1
banana,바나나,,원숭이가 바나나를 먹어요.,The monkey eats a banana.,banana.png,banana_word_en.mp3,banana_meaning_ko.mp3,banana_example_en.mp3,banana_example_ko.mp3,입문,1
band,밴드,,그 밴드는 오늘 공연을 해요.,That band has a performance today.,band.png,band_word_en.mp3,band_meaning_ko.mp3,band_example_en.mp3,band_example_ko.mp3,입문,1
bank,은행,,저는 은행에서 돈을 찾았어요.,I withdrew money at the bank.,bank.png,bank_word_en.mp3,bank_meaning_ko.mp3,bank_example_en.mp3,bank_example_ko.mp3,비즈니스,3
bath,목욕,,아기는 저녁마다 목욕을 해요.,The baby takes a bath every evening.,bath.png,bath_word_en.mp3,bath_meaning_ko.mp3,bath_example_en.mp3,bath_example_ko.mp3,입문,1
bathroom,화장실,,화장실이 어디에 있어요?,Where is the bathroom?,bathroom.png,bathroom_word_en.mp3,bathroom_meaning_ko.mp3,bathroom_example_en.mp3,bathroom_example_ko.mp3,입문,1
be,~이다,,저는 학생이에요.,I am a student.,,be_word_en.mp3,be_meaning_ko.mp3,be_example_en.mp3,be_example_ko.mp3,입문,1
beach,해변,,우리는 주말에 해변에 갔어요.,We went to the beach on the weekend.,beach.png,beach_word_en.mp3,beach_meaning_ko.mp3,beach_example_en.mp3,beach_example_ko.mp3,여행,2
beautiful,아름다운,,이 공원에는 아름다운 꽃이 많아요.,There are many beautiful flowers in this park.,beautiful.png,beautiful_word_en.mp3,beautiful_meaning_ko.mp3,beautiful_example_en.mp3,beautiful_example_ko.mp3,입문,1
because,~때문에,,비 때문에 집에 있었어요.,I stayed home because of the rain.,because.png,because_word_en.mp3,because_meaning_ko.mp3,because_example_en.mp3,because_example_ko.mp3,입문,1
become,되다,,저는 선생님이 되고 싶어요.,I want to become a teacher.,become.png,become_word_en.mp3,become_meaning_ko.mp3,become_example_en.mp3,become_example_ko.mp3,입문,1
bed,침대,,고양이가 침대 위에서 자요.,The cat sleeps on the bed.,bed.png,bed_word_en.mp3,bed_meaning_ko.mp3,bed_example_en.mp3,bed_example_ko.mp3,입문,1
bedroom,침실,,제 침실은 작지만 깨끗해요.,My bedroom is small but clean.,bedroom.png,bedroom_word_en.mp3,bedroom_meaning_ko.mp3,bedroom_example_en.mp3,bedroom_example_ko.mp3,입문,1
beer,맥주,,아버지는 저녁에 맥주를 한 잔 마셨어요.,My father drank a glass of beer in the evening.,beer.png,beer_word_en.mp3,beer_meaning_ko.mp3,beer_example_en.mp3,beer_example_ko.mp3,입문,1
before,~전에,,저는 자기 전에 책을 읽어요.,I read a book before sleeping.,before.png,before_word_en.mp3,before_meaning_ko.mp3,before_example_en.mp3,before_example_ko.mp3,입문,1
begin,시작하다,,수업은 아홉 시에 시작해요.,The class begins at nine o'clock.,begin.png,begin_word_en.mp3,begin_meaning_ko.mp3,begin_example_en.mp3,begin_example_ko.mp3,입문,1
beginning,시작,,영화의 시작이 아주 재미있었어요.,The beginning of the movie was very interesting.,beginning.png,beginning_word_en.mp3,beginning_meaning_ko.mp3,beginning_example_en.mp3,beginning_example_ko.mp3,입문,1
behind,~뒤에,,학교 뒤에 작은 공원이 있어요.,There is a small park behind the school.,behind.png,behind_word_en.mp3,behind_meaning_ko.mp3,behind_example_en.mp3,behind_example_ko.mp3,입문,1
believe,믿다,,저는 친구의 말을 믿어요.,I believe my friend's words.,believe.png,believe_word_en.mp3,believe_meaning_ko.mp3,believe_example_en.mp3,believe_example_ko.mp3,입문,1
below,아래에,,사진 아래에 이름을 써 주세요.,Please write your name below the photo.,below.png,below_word_en.mp3,below_meaning_ko.mp3,below_example_en.mp3,below_example_ko.mp3,입문,1
best,최고의,,그는 우리 반에서 최고의 학생이에요.,He is the best student in our class.,best.png,best_word_en.mp3,best_meaning_ko.mp3,best_example_en.mp3,best_example_ko.mp3,입문,1
better,더 나은,,오늘은 어제보다 더 나은 하루였어요.,Today was a better day than yesterday.,better.png,better_word_en.mp3,better_meaning_ko.mp3,better_example_en.mp3,better_example_ko.mp3,입문,1
between,~사이에,,은행은 병원과 약국 사이에 있어요.,The bank is between the hospital and the pharmacy.,between.png,between_word_en.mp3,between_meaning_ko.mp3,between_example_en.mp3,between_example_ko.mp3,입문,1
bicycle,자전거,,저는 매일 자전거를 타고 학교에 가요.,I ride a bicycle to school every day.,bicycle.png,bicycle_word_en.mp3,bicycle_meaning_ko.mp3,bicycle_example_en.mp3,bicycle_example_ko.mp3,입문,1
big,큰,,우리 집 앞에 큰 나무가 있어요.,There is a big tree in front of my house.,big.png,big_word_en.mp3,big_meaning_ko.mp3,big_example_en.mp3,big_example_ko.mp3,입문,1
bike,자전거,,동생은 새 자전거를 샀어요.,My younger sibling bought a new bike.,bike.png,bike_word_en.mp3,bike_meaning_ko.mp3,bike_example_en.mp3,bike_example_ko.mp3,입문,1
bill,계산서,,식사가 끝난 후 계산서를 받았어요.,"After the meal, we received the bill.",bill.png,bill_word_en.mp3,bill_meaning_ko.mp3,bill_example_en.mp3,bill_example_ko.mp3,비즈니스,3
bird,새,,창밖에 작은 새가 앉아 있어요.,A small bird is sitting outside the window.,bird.png,bird_word_en.mp3,bird_meaning_ko.mp3,bird_example_en.mp3,bird_example_ko.mp3,입문,1
birthday,생일,,오늘은 제 친구의 생일이에요.,Today is my friend's birthday.,birthday.png,birthday_word_en.mp3,birthday_meaning_ko.mp3,birthday_example_en.mp3,birthday_example_ko.mp3,입문,1
black,검은색,,저는 검은색 가방을 샀어요.,I bought a black bag.,black.png,black_word_en.mp3,black_meaning_ko.mp3,black_example_en.mp3,black_example_ko.mp3,입문,1
blog,블로그,,그녀는 매일 블로그에 글을 써요.,She writes posts on her blog every day.,blog.png,blog_word_en.mp3,blog_meaning_ko.mp3,blog_example_en.mp3,blog_example_ko.mp3,입문,1
blue,파란색,,하늘은 오늘 파란색이에요.,The sky is blue today.,blue.png,blue_word_en.mp3,blue_meaning_ko.mp3,blue_example_en.mp3,blue_example_ko.mp3,입문,1
boat,배,,우리는 호수에서 배를 탔어요.,We rode a boat on the lake.,boat.png,boat_word_en.mp3,boat_meaning_ko.mp3,boat_example_en.mp3,boat_example_ko.mp3,여행,2
body,몸,,운동은 몸에 좋아요.,Exercise is good for the body.,body.png,body_word_en.mp3,body_meaning_ko.mp3,body_example_en.mp3,body_example_ko.mp3,입문,1
book,책,,저는 도서관에서 책을 빌렸어요.,I borrowed a book from the library.,book.png,book_word_en.mp3,book_meaning_ko.mp3,book_example_en.mp3,book_example_ko.mp3,여행,2
boot,부츠,,비 오는 날에는 부츠를 신어요.,I wear boots on rainy days.,boot.png,boot_word_en.mp3,boot_meaning_ko.mp3,boot_example_en.mp3,boot_example_ko.mp3,쇼핑,2
bored,지루한,,저는 지루한 수업에서 졸았어요.,I dozed off in the boring class.,bored.png,bored_word_en.mp3,bored_meaning_ko.mp3,bored_example_en.mp3,bored_example_ko.mp3,입문,1
boring,지루한,,그 영화는 조금 지루한 이야기였어요.,That movie was a slightly boring story.,boring.png,boring_word_en.mp3,boring_meaning_ko.mp3,boring_example_en.mp3,boring_example_ko.mp3,입문,1
born,태어난,,저는 서울에서 태어난 사람이에요.,I am a person born in Seoul.,born.png,born_word_en.mp3,born_meaning_ko.mp3,born_example_en.mp3,born_example_ko.mp3,입문,1
both,둘 다,,저는 커피와 차를 둘 다 좋아해요.,I like both coffee and tea.,,both_word_en.mp3,both_meaning_ko.mp3,both_example_en.mp3,both_example_ko.mp3,입문,1
bottle,병,,책상 위에 물병 한 병이 있어요.,There is a bottle of water on the desk.,bottle.png,bottle_word_en.mp3,bottle_meaning_ko.mp3,bottle_example_en.mp3,bottle_example_ko.mp3,입문,1
box,상자,,상자 안에 선물이 있어요.,There is a gift inside the box.,box.png,box_word_en.mp3,box_meaning_ko.mp3,box_example_en.mp3,box_example_ko.mp3,입문,1
boy,남자아이,,그 남자아이는 공원에서 뛰고 있어요.,The boy is running in the park.,boy.png,boy_word_en.mp3,boy_meaning_ko.mp3,boy_example_en.mp3,boy_example_ko.mp3,입문,1
boyfriend,남자친구,,제 남자친구는 요리를 잘해요.,My boyfriend is good at cooking.,boyfriend.png,boyfriend_word_en.mp3,boyfriend_meaning_ko.mp3,boyfriend_example_en.mp3,boyfriend_example_ko.mp3,입문,1
bread,빵,,아침에 빵을 먹었어요.,I ate bread in the morning.,bread.png,bread_word_en.mp3,bread_meaning_ko.mp3,bread_example_en.mp3,bread_example_ko.mp3,입문,1
break,깨뜨리다,,아이가 컵을 깨뜨렸어요.,The child broke the cup.,break.png,break_word_en.mp3,break_meaning_ko.mp3,break_example_en.mp3,break_example_ko.mp3,위기탈출,3
breakfast,아침,,저는 매일 아침을 꼭 먹어요.,I always eat breakfast every day.,breakfast.png,breakfast_word_en.mp3,breakfast_meaning_ko.mp3,breakfast_example_en.mp3,breakfast_example_ko.mp3,여행,2
bring,가져오다,,내일 숙제를 가져오세요.,Please bring your homework tomorrow.,bring.png,bring_word_en.mp3,bring_meaning_ko.mp3,bring_example_en.mp3,bring_example_ko.mp3,입문,1
brother,형제,,저는 형제가 두 명 있어요.,I have two brothers.,brother.png,brother_word_en.mp3,brother_meaning_ko.mp3,brother_example_en.mp3,brother_example_ko.mp3,입문,1
brown,갈색,,그 강아지는 갈색 털을 가지고 있어요.,That puppy has brown fur.,brown.png,brown_word_en.mp3,brown_meaning_ko.mp3,brown_example_en.mp3,brown_example_ko.mp3,입문,1
build,짓다,,그들은 강 옆에 집을 지었어요.,They built a house next to the river.,build.png,build_word_en.mp3,build_meaning_ko.mp3,build_example_en.mp3,build_example_ko.mp3,입문,1
building,건물,,저 높은 건물은 은행이에요.,That tall building is a bank.,building.png,building_word_en.mp3,building_meaning_ko.mp3,building_example_en.mp3,building_example_ko.mp3,입문,1
bus,버스,,저는 버스를 타고 회사에 가요.,I take the bus to work.,bus.png,bus_word_en.mp3,bus_meaning_ko.mp3,bus_example_en.mp3,bus_example_ko.mp3,여행,2
business,사업,,그는 작은 사업을 시작했어요.,He started a small business.,business.png,business_word_en.mp3,business_meaning_ko.mp3,business_example_en.mp3,business_example_ko.mp3,비즈니스,3
busy,바쁜,,오늘은 일이 많아서 바쁜 하루였어요.,Today was a busy day because I had a lot of work.,busy.png,busy_word_en.mp3,busy_meaning_ko.mp3,busy_example_en.mp3,busy_example_ko.mp3,입문,1
but,하지만,,"저는 가고 싶어요, 하지만 시간이 없어요.","I want to go, but I don't have time.",,but_word_en.mp3,but_meaning_ko.mp3,but_example_en.mp3,but_example_ko.mp3,입문,1
butter,버터,,빵에 버터를 발랐어요.,I spread butter on the bread.,butter.png,butter_word_en.mp3,butter_meaning_ko.mp3,butter_example_en.mp3,butter_example_ko.mp3,입문,1
buy,사다,,저는 시장에서 과일을 샀어요.,I bought fruit at the market.,buy.png,buy_word_en.mp3,buy_meaning_ko.mp3,buy_example_en.mp3,buy_example_ko.mp3,쇼핑,2
by,에 의해,,이 노래는 유명한 가수에 의해 불렸어요.,This song was sung by a famous singer.,,by_word_en.mp3,by_meaning_ko.mp3,by_example_en.mp3,by_example_ko.mp3,입문,1
bye,안녕,,친구에게 안녕이라고 말했어요.,I said bye to my friend.,bye.png,bye_word_en.mp3,bye_meaning_ko.mp3,bye_example_en.mp3,bye_example_ko.mp3,입문,1
cafe,카페,,우리는 카페에서 커피를 마셨어요.,We drank coffee at a cafe.,cafe.png,cafe_word_en.mp3,cafe_meaning_ko.mp3,cafe_example_en.mp3,cafe_example_ko.mp3,입문,1
cake,케이크,,생일 파티에서 케이크를 먹었어요.,We ate cake at the birthday party.,cake.png,cake_word_en.mp3,cake_meaning_ko.mp3,cake_example_en.mp3,cake_example_ko.mp3,입문,1
call,전화하다,,저녁에 엄마에게 전화할 거예요.,I will call my mom in the evening.,call.png,call_word_en.mp3,call_meaning_ko.mp3,call_example_en.mp3,call_example_ko.mp3,입문,1
camera,카메라,,그는 새 카메라로 사진을 찍었어요.,He took pictures with his new camera.,camera.png,camera_word_en.mp3,camera_meaning_ko.mp3,camera_example_en.mp3,camera_example_ko.mp3,여행,2
can,할 수 있다,,저는 한국어를 조금 할 수 있어요.,I can speak a little Korean.,,can_word_en.mp3,can_meaning_ko.mp3,can_example_en.mp3,can_example_ko.mp3,입문,1
cannot,할 수 없다,,저는 오늘 모임에 갈 수 없어요.,I cannot go to the meeting today.,cannot.png,cannot_word_en.mp3,cannot_meaning_ko.mp3,cannot_example_en.mp3,cannot_example_ko.mp3,입문,1
capital,수도,,서울은 한국의 수도예요.,Seoul is the capital of Korea.,capital.png,capital_word_en.mp3,capital_meaning_ko.mp3,capital_example_en.mp3,capital_example_ko.mp3,비즈니스,3
car,자동차,,우리 아빠는 새 자동차를 샀어요.,My dad bought a new car.,car.png,car_word_en.mp3,car_meaning_ko.mp3,car_example_en.mp3,car_example_ko.mp3,입문,1
card,카드,,저는 생일 카드를 친구에게 보냈어요.,I sent a birthday card to my friend.,card.png,card_word_en.mp3,card_meaning_ko.mp3,card_example_en.mp3,card_example_ko.mp3,입문,1
career,경력,,그는 긴 경력을 가진 선생님이에요.,He is a teacher with a long career.,career.png,career_word_en.mp3,career_meaning_ko.mp3,career_example_en.mp3,career_example_ko.mp3,비즈니스,3
carrot,당근,,토끼가 당근을 먹고 있어요.,The rabbit is eating a carrot.,carrot.png,carrot_word_en.mp3,carrot_meaning_ko.mp3,carrot_example_en.mp3,carrot_example_ko.mp3,입문,1
carry,운반하다,,직원들이 무거운 상자를 운반해요.,The workers carry heavy boxes.,carry.png,carry_word_en.mp3,carry_meaning_ko.mp3,carry_example_en.mp3,carry_example_ko.mp3,입문,1
cat,고양이,,고양이가 창가에서 자고 있어요.,The cat is sleeping by the window.,cat.png,cat_word_en.mp3,cat_meaning_ko.mp3,cat_example_en.mp3,cat_example_ko.mp3,입문,1
CD,시디,,저는 오래된 시디를 다시 들었어요.,I listened to an old CD again.,CD.png,CD_word_en.mp3,CD_meaning_ko.mp3,CD_example_en.mp3,CD_example_ko.mp3,입문,1
cent,센트,,이 사탕은 50센트예요.,This candy is 50 cents.,cent.png,cent_word_en.mp3,cent_meaning_ko.mp3,cent_example_en.mp3,cent_example_ko.mp3,입문,1
centre,중심,,분수는 공원의 중심에 있어요.,The fountain is in the centre of the park.,centre.png,centre_word_en.mp3,centre_meaning_ko.mp3,centre_example_en.mp3,centre_example_ko.mp3,입문,1
century,세기,,우리는 21세기에 살고 있어요.,We live in the 21st century.,century.png,century_word_en.mp3,century_meaning_ko.mp3,century_example_en.mp3,century_example_ko.mp3,입문,1
chair,의자,,교실에 의자가 많이 있어요.,There are many chairs in the classroom.,chair.png,chair_word_en.mp3,chair_meaning_ko.mp3,chair_example_en.mp3,chair_example_ko.mp3,입문,1
change,바꾸다,,저는 머리 색을 바꾸고 싶어요.,I want to change my hair color.,change.png,change_word_en.mp3,change_meaning_ko.mp3,change_example_en.mp3,change_example_ko.mp3,쇼핑,2
chart,차트,,선생님이 차트로 결과를 보여 주었어요.,The teacher showed the results with a chart.,chart.png,chart_word_en.mp3,chart_meaning_ko.mp3,chart_example_en.mp3,chart_example_ko.mp3,비즈니스,3
cheap,싼,,이 가게에는 싼 옷이 많아요.,There are many cheap clothes in this store.,cheap.png,cheap_word_en.mp3,cheap_meaning_ko.mp3,cheap_example_en.mp3,cheap_example_ko.mp3,쇼핑,2
check,확인하다,,출발 전에 시간을 확인하세요.,Please check the time before you leave.,check.png,check_word_en.mp3,check_meaning_ko.mp3,check_example_en.mp3,check_example_ko.mp3,입문,1
cheese,치즈,,저는 빵에 치즈를 넣었어요.,I put cheese in the bread.,cheese.png,cheese_word_en.mp3,cheese_meaning_ko.mp3,cheese_example_en.mp3,cheese_example_ko.mp3,입문,1
chicken,닭,,농장에 닭이 열 마리 있어요.,There are ten chickens on the farm.,chicken.png,chicken_word_en.mp3,chicken_meaning_ko.mp3,chicken_example_en.mp3,chicken_example_ko.mp3,입문,1
child,어린이,,공원에서 어린이가 뛰어놀고 있어요.,A child is running and playing in the park.,child.png,child_word_en.mp3,child_meaning_ko.mp3,child_example_en.mp3,child_example_ko.mp3,입문,1
chocolate,초콜릿,,동생은 초콜릿을 아주 좋아해요.,My younger sibling really likes chocolate.,chocolate.png,chocolate_word_en.mp3,chocolate_meaning_ko.mp3,chocolate_example_en.mp3,chocolate_example_ko.mp3,입문,1
choose,고르다,,저는 파란색 가방을 골랐어요.,I chose the blue bag.,choose.png,choose_word_en.mp3,choose_meaning_ko.mp3,choose_example_en.mp3,choose_example_ko.mp3,쇼핑,2
cinema,영화관,,주말에 친구와 영화관에 갔어요.,I went to the cinema with my friend on the weekend.,cinema.png,cinema_word_en.mp3,cinema_meaning_ko.mp3,cinema_example_en.mp3,cinema_example_ko.mp3,입문,1
city,도시,,서울은 큰 도시예요.,Seoul is a big city.,city.png,city_word_en.mp3,city_meaning_ko.mp3,city_example_en.mp3,city_example_ko.mp3,입문,1
class,수업,,오늘 한국어 수업이 있어요.,I have a Korean class today.,class.png,class_word_en.mp3,class_meaning_ko.mp3,class_example_en.mp3,class_example_ko.mp3,입문,1
classroom,교실,,학생들이 교실에서 공부해요.,The students study in the classroom.,classroom.png,classroom_word_en.mp3,classroom_meaning_ko.mp3,classroom_example_en.mp3,classroom_example_ko.mp3,입문,1
clean,깨끗한,,제 방은 아주 깨끗해요.,My room is very clean.,clean.png,clean_word_en.mp3,clean_meaning_ko.mp3,clean_example_en.mp3,clean_example_ko.mp3,입문,1
climb,오르다,,우리는 아침에 산에 올랐어요.,We climbed the mountain in the morning.,climb.png,climb_word_en.mp3,climb_meaning_ko.mp3,climb_example_en.mp3,climb_example_ko.mp3,입문,1
